"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
2,36.2277170787809,0.555285352098101,77,10732,0.762376237623762,0.358690268106742
3,42.3825692299817,0.473064264680409,69,8193,0.683168316831683,0.419629398316651
4,47.12658724964,0.425232403718459,60,6404,0.594059405940594,0.466599873758812
5,46.0316010594575,0.437271322871778,49,5378,0.485148514851485,0.455758426331262
6,33.0968542665829,0.610358565737052,30,4596,0.297029702970297,0.327691626401811
7,25.8311408753887,0.77499525706697,21,4085,0.207920792079208,0.255753870053353
8,39.3834612905116,0.509106431417188,28,3578,0.277227722772277,0.389935260302095
9,40.8775037471045,0.489402390438247,25,3071,0.247524752475248,0.404727759872322
10,34.1692476770906,0.589012371566366,19,2809,0.188118811881188,0.338309382941491
11,61.3962700115531,0.330420254466007,31,2571,0.306930693069307,0.607883861500525
12,10.8649725357639,1.82470119521912,5,2290,0.0495049504950495,0.107573985502613
13,35.381922049203,0.572958167330677,16,2301,0.158415841584158,0.350316059893099
14,58.211217786761,0.340803452855246,24,2053,0.237623762376238,0.57634869095803
15,50.9159482758621,0.389489660405995,21,2053,0.207920792079208,0.504118299761011
16,19.6629213483146,1.01536710301651,7,1784,0.0693069306930693,0.194682389587273
17,17.2813825106008,1.18459495351926,6,1784,0.0594059405940594,0.171102797134662
18,47.1336388291406,0.437677859988617,14,1538,0.138613861386139,0.466669691377629
19,61.6716256424128,0.323547913608723,19,1543,0.188118811881188,0.610610154875374
20,23.3452221038492,0.87080250426864,7,1530,0.0693069306930693,0.231140812909398
0,20.1418691949541,1.00688717996232,129,32602,1,0.156138520891117
1,29.5668712717213,0.685091214091004,95,16336,0.736434108527132,0.229200552493963
2,38.8375060848057,0.522058109027305,82,10745,0.635658914728682,0.301065938641905
3,41.655153357281,0.486709876910269,67,8185,0.51937984496124,0.322908165560318
4,47.7152987176513,0.425232403718459,60,6404,0.465116279069767,0.369886036570941
5,41.7699488423606,0.486599058312206,44,5374,0.341085271317829,0.323798053041555
6,27.840074240198,0.731792828685259,25,4592,0.193798449612403,0.215814528993783
7,46.0947503201024,0.440723592118014,37,4093,0.286821705426357,0.357323645892267
8,37.0634354953671,0.548574931045051,26,3580,0.201550387596899,0.287313453452458
9,36.8732250104753,0.555595798623687,22,3068,0.170542635658915,0.285838953569576
10,58.9183425496566,0.3406978148014,33,2822,0.255813953488372,0.456731337594237
11,24.0393979021174,0.847277556440903,12,2552,0.0930232558139535,0.18635192172184
12,33.2788956336856,0.61062416998672,15,2299,0.116279069767442,0.25797593514485
13,38.0904960477998,0.53925474572299,17,2301,0.131782945736434,0.295275163161239
14,36.7885001873488,0.543691899070385,15,2047,0.116279069767442,0.285182171994952
15,52.627915071354,0.388730791121229,21,2049,0.162790697674419,0.407968333886465
16,31.4285714285714,0.647953639985512,11,1789,0.0852713178294574,0.243632336655592
17,47.8667240233077,0.420670260135927,17,1795,0.131782945736434,0.371059876149672
18,63.1958239016954,0.322918850912141,19,1540,0.147286821705426,0.489890107765081
19,17.4443959877889,1.21832669322709,5,1529,0.0387596899224806,0.135227875874333
20,30.5056021090293,0.677733510402833,9,1531,0.0697674418604651,0.236477535728909
0,15.5229621261284,1.29705179282869,100,32556,1,0.155229621261284
1,26.3067400275103,0.765362081087415,85,16329,0.85,0.263067400275103
